Item Name,NS ID,Comment 1,Comment 2,Comment 3,Comment 4,Comment 5,Comment 6,Comment 7,Comment 8,Comment 9,Comment 10,Comment 11,Comment 12,Comment 13,Comment 14,Comment 15,Comment 16,Comment 17,Comment 18,Comment 19,Comment 20
G10000AAANOODLE,1227,GRADE: 35 LB BLEACHED      WET STRENGTH KRAFT 5#,POLY ONE SIDE.,COATING: NONE              *,SIZE: 12-1/2 X 21-1/4"     SHEETS,PACK: 50 LBS PER #1 TELLY  CARTON.,LABEL; ITEM SIZE AND     2000 SHEETS.,END USE; NOODLE WRAP.,,,,,,,,,,,,,,
G10100AARON,1228,GRADE: 25# QUILON          COATING: NONE,SIZE: 8-3/16 X 24-3/8"     *,PACK: 4 M PER CASE         LABEL: "1/2 SIZE BAKERY,PAN LINER   SIZE ITEM      QUANTITY,END USE: BAKING PAN LINER,,,,,,,,,,,,,,,,
G10102AARON,1229,GRADE: 30 LB BLEACHED      KRAFT.,COATING: DRY WAX TO 35 LB  FINISH.,SIZE: 10 X 14" SHEETS      PACK: 1000 SHEETS PACKAGE,4 PKGS PER #5 TELLY CTN    LABEL: ITEM SIZE AND,QUANTITY.                  END USE: FOOD WRAPPER.,,,,,,,,,,,,,,,,
G10106 AARON,4035,GRADE: 30 LB BLEACHED      KRAFT LOW WET STRENGTH,COATING: DRY WAX TO 39 LB  FINISH,SIZE: 15" WIDTH            PACK: 1 ROLL PER BUNDLE.,STACK ON PALLETS.          LABELS: SIZE 15" MEAT,WRAP AND QUANTITY.        DIAMETER OR FOOTAGE:,1100 FT/RL.                END USE: MEAT WRAP.,,,,,,,,,,,,,,,
G10343 A&M,4026,GRADE: 25 LB. BLEACHED KRAFT,COATING: WET WAX TO 38 LB FINISH,SIZE: 15 X 20" SHEET   PACK: 50 LBS. PER CARTON,LABEL: ITEMSIZEQUANTITY  *,END USE: FOOD WRAP,,,,,,,,,,,,,,,,
G10344 A&M,4027,GRADE: 25 LB. BLEACHED     KRAFT,COATING: WET WAX TO 38     LB. FINISH,SIZE: 15 X 22" SHEETS  PACK: 50 LBS. PER CARTON,LABEL: ITEMSIZEQUANTITY  *,END USE: FOOD WRAP,,,,,,,,,,,,,,,,
G10346 A&M,4028,ITEM: G10346 A&M           GRADE: 25 LB BLEACHED,KRAFT                      COATING: WET WAX TO 38 LB,FINISH                     SIZE: 24 X 36,PACK: 500 SHEETS PER CS    *,LABEL: ITEMSIZEQUANTITY  END USE: CANDY BOX LINERS,SEPARATORS,,,,,,,,,,,,,,,
G10370 ALPINE,1236,GRADE: 25# QUILON          COATING: NONE,SIZE: 9-1/4 X 9-1/4"       SHEETS,PACK: 1000 SHEETS PER     PKG.,USE $2 NICKEL CS 5TH FLR   LABEL: ITEMSIZEQUANTITY,END USE: RAVIOLI           INTERLEAVER,,,,,,,,,,,,,,,,
G10371 ALPINE,1237,*,GRADE: 25 LB QUILON  (USE ANY TRIM WE HAVE ),*,COATING: NONE,*,SIZE: 9 X 6-1/4" SHEETS,*,PACK: 1000 SHEETS PER PG. THEN IN MASTER CS.,*,LABEL: ITEM SIZE QTY.,*,END USE: INTERLEAVING SHEETS,,,,,,,,,
G10510 AMERIPAC,1249,*        *       *       *,GRADE: 25# QUILON,*,COATING: NONE,*,SIZE: 13-1/8 X 22-3/8" SHEETS,*,PACK: 2000 SHEETS PER CTN. USE AP-2 CTN STACK ON SKI,NO STAPLES NO DIRT (33 LBS/CS ),*,LABEL: ITE SIZE QTY DATE BETTER BAKED P.O.#,P/N 124024,*,END USE: BAKING PAN LINER,,,,,,,
